Country,Market,RetailPrice,WholesalePrice,Date
RWANDA,Kigali,442,395,2013-03-26
RWANDA,Kicukiro,458,442,2013-03-26
RWANDA,Kimironko,474,458,2013-03-26
RWANDA,Kigali,426,395,2013-03-25
RWANDA,Kimironko,474,458,2013-03-25
RWANDA,Ruhengeri,505,442,2013-03-25
RWANDA,Kicukiro,458,442,2013-03-25
RWANDA,Kimironko,481,465,2013-03-22
RWANDA,Kicukiro,481,449,2013-03-22
RWANDA,Kigali,442,395,2013-03-22
RWANDA,Kimironko,465,449,2013-03-21
RWANDA,Kicukiro,481,449,2013-03-21
RWANDA,Kicukiro,481,449,2013-03-20
RWANDA,Kimironko,465,449,2013-03-20
RWANDA,Kimironko,481,465,2013-03-19
RWANDA,Kigali,449,400,2013-03-19
RWANDA,Kicukiro,481,449,2013-03-19
RWANDA,Ruhengeri,513,449,2013-03-19
RWANDA,Kigali,449,400,2013-03-18
RWANDA,Kicukiro,481,449,2013-03-18
RWANDA,Ruhengeri,513,449,2013-03-18
RWANDA,Kimironko,481,465,2013-03-18
RWANDA,Kimironko,494,477,2013-03-15
RWANDA,Kicukiro,494,461,2013-03-15
RWANDA,Ruhengeri,527,461,2013-03-15
RWANDA,Kigali,439,374,2013-03-15
RWANDA,Kigali,444,379,2013-03-14
RWANDA,Kicukiro,494,461,2013-03-14
RWANDA,Ruhengeri,527,461,2013-03-14
RWANDA,Kimironko,494,477,2013-03-14
RWANDA,Kigali,428,379,2013-03-13
RWANDA,Ruhengeri,527,461,2013-03-13
RWANDA,Kicukiro,444,428,2013-03-13
RWANDA,Kimironko,461,428,2013-03-13
RWANDA,Kigali,444,411,2013-03-12
RWANDA,Kicukiro,444,428,2013-03-12
RWANDA,Ruhengeri,527,461,2013-03-12
RWANDA,Kimironko,461,428,2013-03-12
RWANDA,Kicukiro,444,428,2013-03-11
RWANDA,Ruhengeri,527,461,2013-03-11
RWANDA,Kigali,510,428,2013-03-11
RWANDA,Kimironko,494,477,2013-03-08
RWANDA,Kicukiro,461,428,2013-03-08
RWANDA,Kigali,510,411,2013-03-08
RWANDA,Ruhengeri,527,461,2013-03-08
RWANDA,Kimironko,494,477,2013-03-07
RWANDA,Kicukiro,461,444,2013-03-07
RWANDA,Kigali,494,411,2013-03-07
RWANDA,Ruhengeri,527,461,2013-03-07
RWANDA,Kicukiro,461,444,2013-03-06
RWANDA,Ruhengeri,527,461,2013-03-06
RWANDA,Kicukiro,461,444,2013-03-06
RWANDA,Kigali,494,428,2013-03-06
RWANDA,Kicukiro,461,444,2013-03-05
RWANDA,Kicukiro,461,444,2013-03-05
RWANDA,Ruhengeri,527,461,2013-03-05
RWANDA,Kigali,494,411,2013-03-05
RWANDA,Ruhengeri,527,461,2013-03-04
RWANDA,Kicukiro,461,444,2013-03-04
RWANDA,Kicukiro,461,444,2013-03-04
RWANDA,Kigali,494,411,2013-03-04
